Video ID,Video Title,Channel Name,Category,Category ID,Upload Date,Upload Time,Likes,Views,Comments,Duration (Seconds)
IZlPRw0QWQA,Serena Williams & Alexis Ohanian on Learning Their Baby's Gender | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,05:27:42,3129,451560,251,69
TASTjP48t9w,Madonna on Her Army Chic Dress (and Canteen of Rosé) | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,05:15:04,1529,186446,107,52
bnYSE5BjQe8,Kim Kardashian West on Her Simple Met Gala Look and Kanye West | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,05:05:50,7237,958215,363,51
pGdlW_PrIrc,Jennifer Lopez and Alex Rodriguez on Always Looking Sexy | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,04:51:57,2114,303765,106,47
2blTycz3JZY,Ashley Graham on Her First Met Gala | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,04:44:54,1745,155032,60,46
Xzg3Yd1Yme0,Gigi Hadid on the Inspiration Behind Her Met Gala Dress | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,04:40:48,6344,656869,170,54
ehExr8vSaIU,Caroline Kennedy Shows Off Her Comme des Garcons Gown | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,04:12:19,590,68572,56,47
Er67430i1jw,Lupita Nyong’o on When Sexy Takes the Front Row | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,03:55:29,1552,137526,78,48
QhYHwJC6pbg,Rihanna on Her Game-Changing Met Gala Red Carpet Look | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,03:36:05,9872,729898,319,54
c6J3NFCITLI,"Reese Witherspoon on Putting Women First in ""Big Little Lies"" | Met Gala 2017",Vogue,Entertainment,24,2017-05-02,03:22:56,772,88739,21,48
y6BIdkJ2NpY,"Sean ""Diddy"" Combs and Cassie on Bringing Drama to the Met Gala | Met Gala 2017",Vogue,Entertainment,24,2017-05-02,03:15:47,977,141266,81,48
osywo5RuCec,Future & Jourdan Dunn on Living All Over the World | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,03:08:43,1240,155761,79,56
KXKY7VWJYek,Amy Schumer on Getting Donuts After the Met Gala | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,03:01:45,644,117404,77,51
wH49_Ob_hCM,Katie Holmes & Zac Posen on Elegance as the New Sexy | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,02:57:12,557,78010,33,55
lsXQWWBRgWw,Nicki Minaj on Daring Fashion and Her H&M Dress | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,02:54:57,6820,453642,255,48
rOVf1ZkXR3g,"Zoë Kravitz on the ""Big Little Lies"" Finale | Met Gala 2017",Vogue,Entertainment,24,2017-05-02,02:15:58,1882,127996,70,51
vrriuNHvrZE,Pharrell Williams on What It Takes to Wear Comme des Garçons | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,02:13:45,1377,125631,56,49
vxOzffnZ-Ds,Selena Gomez on Being a Fashion Newbie | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,02:07:24,13729,880684,386,46
llwe-5MmWrE,Jaden Smith on His Dracula-Inspired Met Gala Look | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,02:07:01,17106,2076090,1471,91
xL_SDzLHuMw,Anna Wintour on Whether She Dresses Sexy or Interesting | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,01:56:39,1641,181581,50,40
b5Omf1zaGqU,"Aziz Ansari on His ""Parents"" Tom Brady & Gisele Bündchen | Met Gala 2017",Vogue,Entertainment,24,2017-05-02,01:54:42,1385,97150,27,72
FXmMjWrxfC8,"James Corden on His Next ""Carpool Karaoke"" Guest | Met Gala 2017",Vogue,Entertainment,24,2017-05-02,01:42:50,1106,93393,56,44
U1w9uFxQeH4,Chief Curator Andrew Bolton on Rei Kawakubo's Genius | Met Gala 2017,Vogue,Entertainment,24,2017-05-02,01:35:14,252,20786,10,43
